image_id,file_name,width,height,annotation_count,categories,source_url,sample_origin
1503,000000001503.jpg,320,240,5,keyboard|laptop|mouse|tv,http://images.cocodataset.org/val2017/000000001503.jpg,original_coco300
12120,000000012120.jpg,640,428,24,chair|person|sports ball|tennis racket,http://images.cocodataset.org/val2017/000000012120.jpg,original_coco300
13348,000000013348.jpg,640,427,12,airplane|person|truck,http://images.cocodataset.org/val2017/000000013348.jpg,original_coco300
13774,000000013774.jpg,640,480,2,frisbee|person,http://images.cocodataset.org/val2017/000000013774.jpg,original_coco300
20107,000000020107.jpg,333,500,1,fire hydrant,http://images.cocodataset.org/val2017/000000020107.jpg,original_coco300
21879,000000021879.jpg,640,427,7,person|surfboard,http://images.cocodataset.org/val2017/000000021879.jpg,original_coco300
25228,000000025228.jpg,640,436,2,person|surfboard,http://images.cocodataset.org/val2017/000000025228.jpg,original_coco300
25386,000000025386.jpg,427,640,8,chair|hot dog|person|sandwich,http://images.cocodataset.org/val2017/000000025386.jpg,original_coco300
29393,000000029393.jpg,500,375,4,dog|orange,http://images.cocodataset.org/val2017/000000029393.jpg,original_coco300
31322,000000031322.jpg,640,427,26,bird|boat|person,http://images.cocodataset.org/val2017/000000031322.jpg,original_coco300
32334,000000032334.jpg,640,480,10,car|chair|person|wine glass,http://images.cocodataset.org/val2017/000000032334.jpg,original_coco300
34873,000000034873.jpg,640,480,9,apple|bowl|chair|cup|dining table|sink|tv,http://images.cocodataset.org/val2017/000000034873.jpg,original_coco300
39769,000000039769.jpg,640,480,6,bed|cat|couch|remote,http://images.cocodataset.org/val2017/000000039769.jpg,original_coco300
45229,000000045229.jpg,640,480,22,book|bottle|bowl|oven|potted plant,http://images.cocodataset.org/val2017/000000045229.jpg,original_coco300
46378,000000046378.jpg,640,360,2,bird|cat,http://images.cocodataset.org/val2017/000000046378.jpg,original_coco300
46804,000000046804.jpg,640,480,1,sheep,http://images.cocodataset.org/val2017/000000046804.jpg,original_coco300
47819,000000047819.jpg,500,375,4,horse|person|suitcase,http://images.cocodataset.org/val2017/000000047819.jpg,original_coco300
47828,000000047828.jpg,640,318,13,boat|car|person,http://images.cocodataset.org/val2017/000000047828.jpg,original_coco300
50828,000000050828.jpg,640,480,4,bed|chair|remote|suitcase,http://images.cocodataset.org/val2017/000000050828.jpg,original_coco300
51326,000000051326.jpg,640,427,1,vase,http://images.cocodataset.org/val2017/000000051326.jpg,original_coco300
54164,000000054164.jpg,640,427,2,person|surfboard,http://images.cocodataset.org/val2017/000000054164.jpg,original_coco300
54592,000000054592.jpg,640,418,5,backpack|person|skis,http://images.cocodataset.org/val2017/000000054592.jpg,original_coco300
55072,000000055072.jpg,640,427,1,giraffe,http://images.cocodataset.org/val2017/000000055072.jpg,original_coco300
55950,000000055950.jpg,426,640,3,person|sports ball|tennis racket,http://images.cocodataset.org/val2017/000000055950.jpg,original_coco300
60090,000000060090.jpg,640,423,6,person|train,http://images.cocodataset.org/val2017/000000060090.jpg,original_coco300
61471,000000061471.jpg,640,480,3,bottle|dog|toilet,http://images.cocodataset.org/val2017/000000061471.jpg,original_coco300
63740,000000063740.jpg,640,480,11,banana|cup|keyboard|laptop|orange|person|tv,http://images.cocodataset.org/val2017/000000063740.jpg,original_coco300
65350,000000065350.jpg,640,427,15,backpack|bicycle|car|person|skateboard,http://images.cocodataset.org/val2017/000000065350.jpg,original_coco300
67896,000000067896.jpg,640,480,1,clock,http://images.cocodataset.org/val2017/000000067896.jpg,original_coco300
69213,000000069213.jpg,640,427,8,motorcycle|person,http://images.cocodataset.org/val2017/000000069213.jpg,original_coco300
73702,000000073702.jpg,464,640,6,backpack|handbag|person|umbrella,http://images.cocodataset.org/val2017/000000073702.jpg,original_coco300
74256,000000074256.jpg,640,480,13,backpack|bus|cell phone|handbag|person|train,http://images.cocodataset.org/val2017/000000074256.jpg,original_coco300
74457,000000074457.jpg,640,364,2,person|surfboard,http://images.cocodataset.org/val2017/000000074457.jpg,original_coco300
76625,000000076625.jpg,640,480,15,cell phone|handbag|person|train,http://images.cocodataset.org/val2017/000000076625.jpg,original_coco300
78032,000000078032.jpg,640,383,3,bench|boat,http://images.cocodataset.org/val2017/000000078032.jpg,original_coco300
78426,000000078426.jpg,500,334,3,cat|cup|dining table,http://images.cocodataset.org/val2017/000000078426.jpg,original_coco300
78959,000000078959.jpg,384,640,13,banana,http://images.cocodataset.org/val2017/000000078959.jpg,original_coco300
79031,000000079031.jpg,640,427,2,person|surfboard,http://images.cocodataset.org/val2017/000000079031.jpg,original_coco300
